name,commune,address,postal_code,phone,email,production_type
EARL Laudun des Garrigues,Laudun-l'Ardoise,20 route des Oliviers,30290,0618997308,earllaudundesgarrigues@ferme.fr,Arboriculture
Clos Carsan du Soleil,Carsan,17 chemin de la Plaine,30130,0670577397,closcarsandusoleil@ferme.fr,Arboriculture
Ferme Cavillargues de Provence,Cavillargues,111 route du Village,30330,0621174355,fermecavillarguesdeprovence@ferme.fr,Maraîchage
Ferme Salazac des Oliviers,Salazac,68 chemin des Lavandes,30760,0656288512,fermesalazacdesoliviers@ferme.fr,Céréales
EARL Codolet de Provence,Codolet,110 route des Oliviers,30200,0672287567,earlcodoletdeprovence@ferme.fr,Oléiculture
Les Jardins Laudun des Oliviers,Laudun-l'Ardoise,136 chemin du Rhône,30290,0685183197,lesjardinslaudundesoliviers@ferme.fr,Céréales
Domaine Bagnols de Provence,Bagnols-sur-Cèze,77 chemin de la Plaine,30200,0618886910,domainebagnolsdeprovence@ferme.fr,Élevage caprin
Ferme Saint des Garrigues,Saint-Nazaire,3 chemin de la Plaine,30200,0683440397,fermesaintdesgarrigues@ferme.fr,Oléiculture
Les Jardins Le Garn des Garrigues,Le Garn,14 chemin du Mas,30760,0602978376,lesjardinslegarndesgarrigues@ferme.fr,Élevage bovin
EARL La Roque de Provence,La Roque-sur-Cèze,4 chemin du Rhône,30200,0659987461,earllaroquedeprovence@ferme.fr,Élevage ovin
Domaine Aiguèze du Rhône,Aiguèze,56 route du Village,30760,0639262362,domaineaiguèzedurhône@ferme.fr,Élevage caprin
Domaine Carsan de Provence,Carsan,145 route du Village,30130,0659201715,domainecarsandeprovence@ferme.fr,Céréales
Clos Tavel de Provence,Tavel,140 route des Oliviers,30126,0684728428,clostaveldeprovence@ferme.fr,Arboriculture
Ferme Issirac du Rhône,Issirac,13 chemin des Lavandes,30760,0630685735,fermeissiracdurhône@ferme.fr,Maraîchage
GAEC Tavel du Soleil,Tavel,12 chemin du Rhône,30126,0689833932,gaectaveldusoleil@ferme.fr,Viticulture
Clos Sabran du Soleil,Sabran,87 chemin de la Plaine,30200,0615322043,clossabrandusoleil@ferme.fr,Viticulture
GAEC Bagnols des Oliviers,Bagnols-sur-Cèze,34 chemin des Vignes,30200,0680194707,gaecbagnolsdesoliviers@ferme.fr,Plantes aromatiques
EARL Laudun du Rhône,Laudun-l'Ardoise,104 route du Village,30290,0643308722,earllaudundurhône@ferme.fr,Plantes aromatiques
Ferme Cavillargues du Rhône,Cavillargues,47 route des Oliviers,30330,0629056832,fermecavillarguesdurhône@ferme.fr,Viticulture
Mas Roquemaure de Provence,Roquemaure,35 chemin des Lavandes,30150,0636416991,masroquemauredeprovence@ferme.fr,Élevage caprin
Ferme Saint du Rhône,Saint-Laurent-des-Arbres,57 chemin des Lavandes,30126,0681365890,fermesaintdurhône@ferme.fr,Élevage ovin
Domaine Chusclan du Soleil,Chusclan,7 chemin des Vignes,30200,0687727473,domainechusclandusoleil@ferme.fr,Viticulture
Clos La Roque du Soleil,La Roque-sur-Cèze,72 chemin du Mas,30200,0616695177,closlaroquedusoleil@ferme.fr,Céréales
Clos Vénéjan du Rhône,Vénéjan,39 route des Oliviers,30200,0639805126,closvénéjandurhône@ferme.fr,Arboriculture
Les Jardins La Roque des Garrigues,La Roque-sur-Cèze,31 route du Village,30200,0617433450,lesjardinslaroquedesgarrigues@ferme.fr,Oléiculture
Les Jardins Goudargues des Garrigues,Goudargues,135 route des Oliviers,30630,0655823087,lesjardinsgoudarguesdesgarrigues@ferme.fr,Maraîchage
Mas Le Garn du Soleil,Le Garn,130 route du Village,30760,0648675094,maslegarndusoleil@ferme.fr,Élevage caprin
Domaine Le Garn du Soleil,Le Garn,54 chemin de la Plaine,30760,0663064928,domainelegarndusoleil@ferme.fr,Céréales
GAEC Issirac du Rhône,Issirac,145 chemin des Vignes,30760,0625684261,gaecissiracdurhône@ferme.fr,Élevage ovin
GAEC Carsan des Oliviers,Carsan,7 chemin des Lavandes,30130,0635131722,gaeccarsandesoliviers@ferme.fr,Viticulture
EARL Montclus de Provence,Montclus,131 route du Village,30630,0696766286,earlmontclusdeprovence@ferme.fr,Apiculture
Domaine Codolet des Garrigues,Codolet,121 chemin du Mas,30200,0675013235,domainecodoletdesgarrigues@ferme.fr,Maraîchage
Domaine Connaux des Garrigues,Connaux,65 chemin du Rhône,30330,0629449898,domaineconnauxdesgarrigues@ferme.fr,Maraîchage
Mas Le Garn de Provence,Le Garn,10 route du Village,30760,0687301321,maslegarndeprovence@ferme.fr,Céréales
Les Jardins Goudargues du Soleil,Goudargues,62 chemin des Vignes,30630,0641760506,lesjardinsgoudarguesdusoleil@ferme.fr,Élevage ovin
EARL Saint du Rhône,Saint-Julien-de-Peyrolas,31 chemin des Lavandes,30760,0635895850,earlsaintdurhône@ferme.fr,Viticulture
EARL Verfeuil des Garrigues,Verfeuil,29 chemin de la Garrigue,30630,0641599272,earlverfeuildesgarrigues@ferme.fr,Maraîchage
GAEC Tavel de Provence,Tavel,94 route des Oliviers,30126,0690894568,gaectaveldeprovence@ferme.fr,Arboriculture
EARL Aiguèze des Garrigues,Aiguèze,1 chemin du Mas,30760,0693683199,earlaiguèzedesgarrigues@ferme.fr,Élevage ovin
Ferme Laval de Provence,Laval-Saint-Roman,135 chemin de la Garrigue,30760,0674353020,fermelavaldeprovence@ferme.fr,Élevage ovin
Mas Tavel du Rhône,Tavel,81 chemin des Vignes,30126,0697096464,mastaveldurhône@ferme.fr,Plantes aromatiques
Ferme Laudun du Soleil,Laudun-l'Ardoise,110 route des Oliviers,30290,0642474357,fermelaudundusoleil@ferme.fr,Élevage ovin
Les Jardins Bagnols du Rhône,Bagnols-sur-Cèze,150 route des Oliviers,30200,0656707228,lesjardinsbagnolsdurhône@ferme.fr,Oléiculture
EARL Carsan des Oliviers,Carsan,18 route des Oliviers,30130,0630425278,earlcarsandesoliviers@ferme.fr,Oléiculture
EARL Cornillon de Provence,Cornillon,80 chemin des Vignes,30630,0656714494,earlcornillondeprovence@ferme.fr,Arboriculture
GAEC La Roque de Provence,La Roque-sur-Cèze,22 route du Village,30200,0690655573,gaeclaroquedeprovence@ferme.fr,Céréales
Les Jardins Saint des Oliviers,Saint-Julien-de-Peyrolas,41 chemin du Mas,30760,0655388333,lesjardinssaintdesoliviers@ferme.fr,Plantes aromatiques
Mas Saint de Provence,Saint-Laurent-des-Arbres,65 chemin du Rhône,30126,0648050734,massaintdeprovence@ferme.fr,Arboriculture
Domaine Issirac du Soleil,Issirac,57 route du Village,30760,0609484665,domaineissiracdusoleil@ferme.fr,Élevage bovin
Mas Sabran du Soleil,Sabran,44 route des Oliviers,30200,0601540782,massabrandusoleil@ferme.fr,Élevage caprin
Les Jardins Cavillargues des Oliviers,Cavillargues,60 route du Village,30330,0671126953,lesjardinscavillarguesdesoliviers@ferme.fr,Élevage ovin
Clos Tavel du Rhône,Tavel,16 chemin des Vignes,30126,0655906790,clostaveldurhône@ferme.fr,Céréales
GAEC Tavel du Rhône,Tavel,39 route des Oliviers,30126,0679521967,gaectaveldurhône@ferme.fr,Plantes aromatiques
GAEC Pont des Oliviers,Pont-Saint-Esprit,44 chemin du Rhône,30130,0606057946,gaecpontdesoliviers@ferme.fr,Plantes aromatiques
Ferme Connaux de Provence,Connaux,6 chemin de la Garrigue,30330,0674368217,fermeconnauxdeprovence@ferme.fr,Viticulture
Clos Saint des Oliviers,Saint-Nazaire,54 chemin des Vignes,30200,0664194650,clossaintdesoliviers@ferme.fr,Apiculture
EARL Saint du Soleil,Saint-Julien-de-Peyrolas,65 chemin des Vignes,30760,0631634555,earlsaintdusoleil@ferme.fr,Viticulture
Les Jardins Carsan des Garrigues,Carsan,57 chemin des Vignes,30130,0676956446,lesjardinscarsandesgarrigues@ferme.fr,Céréales
Les Jardins Saint du Soleil,Saint-Paulet-de-Caisson,113 route des Oliviers,30130,0699917169,lesjardinssaintdusoleil@ferme.fr,Viticulture
Les Jardins Issirac des Oliviers,Issirac,123 route du Village,30760,0608359633,lesjardinsissiracdesoliviers@ferme.fr,Viticulture
Clos Bagnols des Oliviers,Bagnols-sur-Cèze,7 chemin des Vignes,30200,0629007640,closbagnolsdesoliviers@ferme.fr,Arboriculture
Clos Laval du Soleil,Laval-Saint-Roman,48 chemin de la Garrigue,30760,0681694492,closlavaldusoleil@ferme.fr,Oléiculture
Domaine Saint du Soleil,Saint-André-de-Roquepertuis,14 route des Oliviers,30630,0651139709,domainesaintdusoleil@ferme.fr,Élevage caprin
Domaine Saint des Oliviers,Saint-Nazaire,13 chemin de la Plaine,30200,0671128950,domainesaintdesoliviers@ferme.fr,Élevage ovin
Ferme Aiguèze des Oliviers,Aiguèze,36 chemin des Lavandes,30760,0676076731,fermeaiguèzedesoliviers@ferme.fr,Maraîchage
Les Jardins Tavel du Rhône,Tavel,48 chemin de la Garrigue,30126,0630222507,lesjardinstaveldurhône@ferme.fr,Plantes aromatiques
Mas Saint des Oliviers,Saint-Laurent-des-Arbres,91 route des Oliviers,30126,0634158310,massaintdesoliviers@ferme.fr,Arboriculture
EARL Codolet du Soleil,Codolet,17 chemin de la Plaine,30200,0695463837,earlcodoletdusoleil@ferme.fr,Apiculture
GAEC Verfeuil des Garrigues,Verfeuil,3 chemin des Vignes,30630,0610384800,gaecverfeuildesgarrigues@ferme.fr,Oléiculture
GAEC Lirac du Soleil,Lirac,132 chemin des Vignes,30126,0621297940,gaecliracdusoleil@ferme.fr,Arboriculture
Mas Aiguèze de Provence,Aiguèze,17 route des Oliviers,30760,0649349402,masaiguèzedeprovence@ferme.fr,Élevage bovin
Clos Saint du Soleil,Saint-Nazaire,135 chemin de la Garrigue,30200,0639429413,clossaintdusoleil@ferme.fr,Arboriculture
Domaine Orsan de Provence,Orsan,8 chemin des Lavandes,30200,0605517603,domaineorsandeprovence@ferme.fr,Élevage caprin
Ferme Laval des Garrigues,Laval-Saint-Roman,117 route du Village,30760,0672625373,fermelavaldesgarrigues@ferme.fr,Apiculture
Les Jardins Lirac du Rhône,Lirac,4 chemin de la Garrigue,30126,0640245230,lesjardinsliracdurhône@ferme.fr,Élevage ovin
Clos Codolet de Provence,Codolet,96 chemin de la Plaine,30200,0641224126,closcodoletdeprovence@ferme.fr,Arboriculture
EARL Laudun du Soleil,Laudun-l'Ardoise,119 chemin de la Plaine,30290,0635086339,earllaudundusoleil@ferme.fr,Élevage caprin
Domaine Tresques du Rhône,Tresques,150 chemin du Mas,30330,0677408341,domainetresquesdurhône@ferme.fr,Élevage bovin
EARL Tavel du Rhône,Tavel,53 chemin des Vignes,30126,0688233243,earltaveldurhône@ferme.fr,Élevage bovin
EARL Tresques du Rhône,Tresques,148 chemin du Mas,30330,0689982889,earltresquesdurhône@ferme.fr,Apiculture
Domaine Carsan du Soleil,Carsan,29 chemin du Mas,30130,0692244208,domainecarsandusoleil@ferme.fr,Apiculture
Domaine Saint du Soleil,Saint-Laurent-des-Arbres,110 chemin de la Garrigue,30126,0629475643,domainesaintdusoleil@ferme.fr,Maraîchage
Ferme Vénéjan du Rhône,Vénéjan,143 chemin de la Plaine,30200,0693385195,fermevénéjandurhône@ferme.fr,Maraîchage
EARL Montclus des Garrigues,Montclus,54 chemin des Vignes,30630,0601063783,earlmontclusdesgarrigues@ferme.fr,Plantes aromatiques
Ferme Saint des Garrigues,Saint-Julien-de-Peyrolas,21 chemin du Mas,30760,0627208431,fermesaintdesgarrigues@ferme.fr,Viticulture
EARL Saint de Provence,Saint-André-de-Roquepertuis,25 chemin des Lavandes,30630,0635512340,earlsaintdeprovence@ferme.fr,Viticulture
Domaine Vénéjan des Garrigues,Vénéjan,125 chemin des Lavandes,30200,0676575976,domainevénéjandesgarrigues@ferme.fr,Plantes aromatiques
Domaine Roquemaure du Rhône,Roquemaure,47 chemin des Lavandes,30150,0614767179,domaineroquemauredurhône@ferme.fr,Élevage ovin
EARL Aiguèze du Soleil,Aiguèze,137 route des Oliviers,30760,0685009654,earlaiguèzedusoleil@ferme.fr,Oléiculture
Mas Saint du Rhône,Saint-Julien-de-Peyrolas,95 chemin de la Plaine,30760,0678774903,massaintdurhône@ferme.fr,Élevage bovin
Ferme Saint des Garrigues,Saint-Laurent-des-Arbres,22 chemin des Lavandes,30126,0611119728,fermesaintdesgarrigues@ferme.fr,Plantes aromatiques
Ferme Cavillargues des Garrigues,Cavillargues,106 chemin du Mas,30330,0658790724,fermecavillarguesdesgarrigues@ferme.fr,Maraîchage
EARL Goudargues du Soleil,Goudargues,72 chemin du Rhône,30630,0682995455,earlgoudarguesdusoleil@ferme.fr,Apiculture
GAEC Saint du Soleil,Saint-André-de-Roquepertuis,149 chemin de la Garrigue,30630,0690357589,gaecsaintdusoleil@ferme.fr,Élevage ovin
Les Jardins Saint du Rhône,Saint-André-de-Roquepertuis,92 chemin du Mas,30630,0654795170,lesjardinssaintdurhône@ferme.fr,Élevage bovin
Clos Saint des Garrigues,Saint-Julien-de-Peyrolas,63 chemin des Vignes,30760,0649232033,clossaintdesgarrigues@ferme.fr,Oléiculture
Clos Montclus des Oliviers,Montclus,64 chemin des Lavandes,30630,0663777517,closmontclusdesoliviers@ferme.fr,Maraîchage
Domaine Carsan du Rhône,Carsan,138 chemin des Lavandes,30130,0654344037,domainecarsandurhône@ferme.fr,Apiculture
Domaine Cornillon des Garrigues,Cornillon,88 chemin du Rhône,30630,0644683132,domainecornillondesgarrigues@ferme.fr,Viticulture
Mas Saint des Oliviers,Saint-Laurent-des-Arbres,94 chemin de la Garrigue,30126,0635161964,massaintdesoliviers@ferme.fr,Élevage bovin
Mas Salazac des Oliviers,Salazac,82 chemin de la Garrigue,30760,0649843655,massalazacdesoliviers@ferme.fr,Viticulture
Les Jardins Laval de Provence,Laval-Saint-Roman,135 chemin du Mas,30760,0686231118,lesjardinslavaldeprovence@ferme.fr,Arboriculture
Domaine Saint du Rhône,Saint-Paulet-de-Caisson,10 chemin de la Garrigue,30130,0607923198,domainesaintdurhône@ferme.fr,Élevage caprin
Clos Aiguèze de Provence,Aiguèze,42 chemin de la Plaine,30760,0624153559,closaiguèzedeprovence@ferme.fr,Arboriculture
Ferme Roquemaure des Oliviers,Roquemaure,97 chemin du Rhône,30150,0678212311,fermeroquemauredesoliviers@ferme.fr,Céréales
Les Jardins Cavillargues de Provence,Cavillargues,32 chemin de la Plaine,30330,0632576039,lesjardinscavillarguesdeprovence@ferme.fr,Apiculture
GAEC Cornillon des Garrigues,Cornillon,128 route des Oliviers,30630,0651932706,gaeccornillondesgarrigues@ferme.fr,Plantes aromatiques
Domaine Le Garn des Garrigues,Le Garn,90 chemin du Rhône,30760,0672660290,domainelegarndesgarrigues@ferme.fr,Oléiculture
Clos Le Garn du Rhône,Le Garn,4 chemin du Rhône,30760,0656589212,closlegarndurhône@ferme.fr,Élevage bovin
Clos Cornillon de Provence,Cornillon,30 chemin des Vignes,30630,0638873561,closcornillondeprovence@ferme.fr,Plantes aromatiques
Domaine Saint des Garrigues,Saint-Gervais,31 chemin des Lavandes,30200,0601850401,domainesaintdesgarrigues@ferme.fr,Arboriculture
Domaine Saint des Oliviers,Saint-Nazaire,61 chemin du Rhône,30200,0639938776,domainesaintdesoliviers@ferme.fr,Arboriculture
Clos Saint du Soleil,Saint-André-de-Roquepertuis,144 chemin de la Garrigue,30630,0601105810,clossaintdusoleil@ferme.fr,Céréales
GAEC Goudargues des Oliviers,Goudargues,142 chemin de la Garrigue,30630,0622340419,gaecgoudarguesdesoliviers@ferme.fr,Maraîchage
Ferme Pont des Oliviers,Pont-Saint-Esprit,150 chemin de la Garrigue,30130,0656513471,fermepontdesoliviers@ferme.fr,Oléiculture
Les Jardins Tresques de Provence,Tresques,27 route des Oliviers,30330,0668676765,lesjardinstresquesdeprovence@ferme.fr,Oléiculture
Mas Lirac du Soleil,Lirac,137 chemin de la Plaine,30126,0624408473,masliracdusoleil@ferme.fr,Maraîchage
GAEC Tavel des Garrigues,Tavel,95 chemin des Vignes,30126,0688736933,gaectaveldesgarrigues@ferme.fr,Élevage ovin
Clos Saint du Rhône,Saint-Gervais,111 chemin des Vignes,30200,0629164996,clossaintdurhône@ferme.fr,Arboriculture
Clos Connaux des Oliviers,Connaux,6 chemin des Vignes,30330,0692227211,closconnauxdesoliviers@ferme.fr,Arboriculture
Les Jardins Pont des Oliviers,Pont-Saint-Esprit,49 route des Oliviers,30130,0666941855,lesjardinspontdesoliviers@ferme.fr,Arboriculture
GAEC Tresques du Soleil,Tresques,142 route du Village,30330,0618461259,gaectresquesdusoleil@ferme.fr,Élevage ovin
GAEC Chusclan du Soleil,Chusclan,1 chemin des Lavandes,30200,0606760378,gaecchusclandusoleil@ferme.fr,Oléiculture
Ferme Tavel du Rhône,Tavel,95 chemin des Vignes,30126,0607146201,fermetaveldurhône@ferme.fr,Apiculture
EARL Codolet de Provence,Codolet,61 chemin de la Plaine,30200,0655019185,earlcodoletdeprovence@ferme.fr,Élevage bovin
GAEC Saint de Provence,Saint-Laurent-des-Arbres,81 chemin du Rhône,30126,0642641453,gaecsaintdeprovence@ferme.fr,Élevage bovin
Ferme La Roque de Provence,La Roque-sur-Cèze,89 route des Oliviers,30200,0646743047,fermelaroquedeprovence@ferme.fr,Céréales
Ferme Bagnols des Garrigues,Bagnols-sur-Cèze,48 route du Village,30200,0645963834,fermebagnolsdesgarrigues@ferme.fr,Élevage bovin
Domaine Salazac du Rhône,Salazac,59 chemin du Rhône,30760,0642446552,domainesalazacdurhône@ferme.fr,Plantes aromatiques
Ferme Montclus du Soleil,Montclus,88 chemin des Lavandes,30630,0669704524,fermemontclusdusoleil@ferme.fr,Céréales
Ferme Roquemaure du Soleil,Roquemaure,126 route des Oliviers,30150,0693147422,fermeroquemauredusoleil@ferme.fr,Plantes aromatiques
GAEC Saint du Rhône,Saint-Nazaire,51 chemin des Lavandes,30200,0692180607,gaecsaintdurhône@ferme.fr,Oléiculture
Ferme Le Garn des Garrigues,Le Garn,9 chemin du Mas,30760,0643640493,fermelegarndesgarrigues@ferme.fr,Maraîchage
Domaine Le Garn du Rhône,Le Garn,22 chemin des Vignes,30760,0662430919,domainelegarndurhône@ferme.fr,Élevage ovin
EARL Sabran de Provence,Sabran,51 chemin des Vignes,30200,0669185706,earlsabrandeprovence@ferme.fr,Oléiculture
Ferme Saint des Garrigues,Saint-André-de-Roquepertuis,84 chemin de la Plaine,30630,0623504842,fermesaintdesgarrigues@ferme.fr,Arboriculture
Mas Montclus de Provence,Montclus,65 chemin de la Plaine,30630,0648000054,masmontclusdeprovence@ferme.fr,Viticulture
Domaine Lirac du Soleil,Lirac,19 chemin du Rhône,30126,0630760261,domaineliracdusoleil@ferme.fr,Oléiculture
Mas Chusclan des Garrigues,Chusclan,34 route du Village,30200,0697820418,maschusclandesgarrigues@ferme.fr,Élevage caprin
GAEC Aiguèze du Rhône,Aiguèze,127 chemin de la Garrigue,30760,0678719708,gaecaiguèzedurhône@ferme.fr,Céréales
Domaine Lirac du Soleil,Lirac,23 chemin des Vignes,30126,0611210388,domaineliracdusoleil@ferme.fr,Oléiculture
Domaine Codolet des Garrigues,Codolet,41 chemin du Mas,30200,0672516514,domainecodoletdesgarrigues@ferme.fr,Élevage ovin
Mas Saint des Garrigues,Saint-André-de-Roquepertuis,54 route du Village,30630,0605027218,massaintdesgarrigues@ferme.fr,Maraîchage
EARL Lirac de Provence,Lirac,67 chemin des Lavandes,30126,0659143767,earlliracdeprovence@ferme.fr,Arboriculture
EARL Tresques du Soleil,Tresques,58 chemin du Rhône,30330,0615929171,earltresquesdusoleil@ferme.fr,Plantes aromatiques
EARL Orsan des Oliviers,Orsan,59 chemin de la Plaine,30200,0698330457,earlorsandesoliviers@ferme.fr,Maraîchage
Mas Bagnols des Oliviers,Bagnols-sur-Cèze,110 chemin des Lavandes,30200,0623098353,masbagnolsdesoliviers@ferme.fr,Élevage caprin
Clos Laudun des Garrigues,Laudun-l'Ardoise,99 chemin du Mas,30290,0608960146,closlaudundesgarrigues@ferme.fr,Élevage bovin
Domaine Verfeuil de Provence,Verfeuil,53 chemin du Rhône,30630,0692140071,domaineverfeuildeprovence@ferme.fr,Céréales
Clos Saint de Provence,Saint-Julien-de-Peyrolas,117 chemin de la Garrigue,30760,0607051477,clossaintdeprovence@ferme.fr,Maraîchage
Clos Goudargues de Provence,Goudargues,47 route du Village,30630,0662481406,closgoudarguesdeprovence@ferme.fr,Viticulture
Les Jardins Bagnols de Provence,Bagnols-sur-Cèze,87 chemin du Mas,30200,0650202789,lesjardinsbagnolsdeprovence@ferme.fr,Arboriculture
Les Jardins La Roque du Rhône,La Roque-sur-Cèze,69 chemin de la Garrigue,30200,0600145582,lesjardinslaroquedurhône@ferme.fr,Élevage caprin
Domaine Sabran du Rhône,Sabran,15 chemin du Rhône,30200,0630107795,domainesabrandurhône@ferme.fr,Viticulture
Les Jardins Laudun du Soleil,Laudun-l'Ardoise,67 chemin des Vignes,30290,0670201018,lesjardinslaudundusoleil@ferme.fr,Arboriculture
Les Jardins Saint de Provence,Saint-Paulet-de-Caisson,105 chemin des Lavandes,30130,0654881606,lesjardinssaintdeprovence@ferme.fr,Viticulture
EARL La Roque des Oliviers,La Roque-sur-Cèze,111 chemin du Rhône,30200,0667893496,earllaroquedesoliviers@ferme.fr,Oléiculture
Mas Chusclan du Soleil,Chusclan,126 chemin de la Garrigue,30200,0664978654,maschusclandusoleil@ferme.fr,Céréales
GAEC Tavel du Soleil,Tavel,89 chemin du Rhône,30126,0601279660,gaectaveldusoleil@ferme.fr,Viticulture
EARL Salazac de Provence,Salazac,90 chemin de la Garrigue,30760,0640910821,earlsalazacdeprovence@ferme.fr,Apiculture
Les Jardins Carsan des Garrigues,Carsan,7 route des Oliviers,30130,0629062973,lesjardinscarsandesgarrigues@ferme.fr,Élevage ovin
Clos Codolet des Garrigues,Codolet,121 chemin du Mas,30200,0631949959,closcodoletdesgarrigues@ferme.fr,Plantes aromatiques
Ferme Orsan des Oliviers,Orsan,85 chemin des Vignes,30200,0644262520,fermeorsandesoliviers@ferme.fr,Élevage caprin
Ferme Tresques des Oliviers,Tresques,144 chemin des Lavandes,30330,0642213301,fermetresquesdesoliviers@ferme.fr,Plantes aromatiques
Ferme Lirac des Oliviers,Lirac,77 chemin du Mas,30126,0685104978,fermeliracdesoliviers@ferme.fr,Viticulture
Ferme Lirac du Soleil,Lirac,41 chemin des Vignes,30126,0629036287,fermeliracdusoleil@ferme.fr,Élevage caprin
EARL Verfeuil de Provence,Verfeuil,132 route du Village,30630,0661638580,earlverfeuildeprovence@ferme.fr,Maraîchage
GAEC Goudargues du Soleil,Goudargues,52 chemin du Mas,30630,0639855626,gaecgoudarguesdusoleil@ferme.fr,Élevage ovin
GAEC Roquemaure du Rhône,Roquemaure,16 route du Village,30150,0601988246,gaecroquemauredurhône@ferme.fr,Arboriculture
Les Jardins Saint du Rhône,Saint-André-de-Roquepertuis,52 chemin des Lavandes,30630,0687557029,lesjardinssaintdurhône@ferme.fr,Apiculture
Les Jardins Saint du Rhône,Saint-Paulet-de-Caisson,121 chemin du Mas,30130,0634246851,lesjardinssaintdurhône@ferme.fr,Maraîchage
Les Jardins Montclus des Garrigues,Montclus,91 route des Oliviers,30630,0697904460,lesjardinsmontclusdesgarrigues@ferme.fr,Plantes aromatiques
Les Jardins Le Garn des Oliviers,Le Garn,23 route des Oliviers,30760,0605913912,lesjardinslegarndesoliviers@ferme.fr,Apiculture
Clos Saint du Rhône,Saint-Laurent-des-Arbres,119 chemin de la Plaine,30126,0665080807,clossaintdurhône@ferme.fr,Oléiculture
Domaine Orsan de Provence,Orsan,14 chemin des Vignes,30200,0647938215,domaineorsandeprovence@ferme.fr,Maraîchage
EARL Vénéjan des Garrigues,Vénéjan,142 chemin du Mas,30200,0647777627,earlvénéjandesgarrigues@ferme.fr,Plantes aromatiques
Ferme Salazac du Soleil,Salazac,58 route du Village,30760,0620317378,fermesalazacdusoleil@ferme.fr,Oléiculture
Ferme Aiguèze du Rhône,Aiguèze,12 chemin de la Garrigue,30760,0630751464,fermeaiguèzedurhône@ferme.fr,Arboriculture
Les Jardins Codolet de Provence,Codolet,107 route des Oliviers,30200,0643622429,lesjardinscodoletdeprovence@ferme.fr,Élevage caprin
EARL Laudun du Rhône,Laudun-l'Ardoise,6 chemin des Vignes,30290,0662634822,earllaudundurhône@ferme.fr,Plantes aromatiques
Les Jardins Connaux du Soleil,Connaux,82 chemin du Rhône,30330,0673535833,lesjardinsconnauxdusoleil@ferme.fr,Élevage caprin
Mas Saint de Provence,Saint-Julien-de-Peyrolas,85 chemin des Vignes,30760,0631978674,massaintdeprovence@ferme.fr,Élevage bovin
